Zone,Channel,Year,Month,Baht,Ton
N1,N1BK,2017,4,1000.0,12.61
N1,N1BK,2018,1,500.0,1.53
N1,N1BK,2018,8,1030.0,74.32999999999998
N1,N1BK,2018,9,993.75,14.870000000000001
N1,N1BK,2018,10,1000.0,22.25
N1,N1BK,2019,1,737.5,5.609999999999999
N1,N1BT,2018,2,500.0,4.15
N1,N1BT,2018,4,1000.0,0.83
N1,N1DG,2017,3,1000.0,3.38
N1,N1DG,2017,10,1000.0,56.22
N1,N1DG,2018,2,950.0,2.29
N1,N1DG,2018,3,950.0,3.76
N1,N1DG,2018,4,950.0,1.74
N1,N1DG,2018,5,900.0,10.950000000000001
N1,N1DG,2018,7,900.0,13.069999999999999
N1,N1DG,2018,8,900.0,74.30999999999997
N1,N1DG,2018,9,997.0833333333334,104.79
N1,N1DG,2018,10,970.0,81.15
N1,N1DG,2018,11,980.0,32.85999999999999
N1,N1DG,2018,12,999.5918367346939,114.34000000000002
N1,N1DG,2019,1,1000.0,129.52000000000004
N1,N1DG,2019,2,1000.0,136.51000000000002
N1,N1DG,2019,3,970.0,171.39999999999998
N1,N1DG,2019,4,970.0,72.35999999999999
N1,N1DG,2019,5,970.0,89.64999999999998
N1,N1DG,2019,6,970.0,9.26
N1,N1DG,2019,7,925.0,3.54
N1,N1DG,2019,8,900.0,31.340000000000007
N1,N1DG,2019,9,900.0,25.729999999999997
N1,N1DG,2019,10,900.0,35.53
N1,N1DG,2019,11,900.0,8.309999999999999
N1,N1DG,2019,12,950.0,15.01
N1,N1DG,2020,1,900.0,16.0
N1,N1DG,2020,2,870.0,1.88
N1,N1DG,2020,3,870.0,25.07
N1,N1DG,2020,5,870.0,12.44
N1,N1DK,2017,3,983.3333333333334,14.03
N1,N1DK,2017,4,1050.0,3.5300000000000002
N1,N1DK,2017,5,953.5714285714286,26.479999999999997
N1,N1DK,2017,8,960.0,9.34
N1,N1DK,2017,9,881.8181818181819,20.950000000000003
N1,N1DK,2018,2,612.5,14.099999999999998
N1,N1DK,2018,3,592.8571428571429,15.759999999999998
N1,N1DK,2018,4,753.75,29.71
N1,N1DK,2018,9,993.3333333333334,26.64
N1,N1DK,2019,1,1000.0,16.970000000000002
N1,N1DK,2019,2,993.2432432432432,71.1
N1,N1DK,2019,3,1010.0,7.9399999999999995
N1,N1DK,2019,4,977.8947368421053,42.68000000000001
N1,N1DK,2019,5,966.8181818181819,47.169999999999995
N1,N1DK,2019,6,970.0,5.22
N1,N1DK,2019,7,918.8888888888889,19.74
N1,N1DK,2019,8,900.0,4.58
N1,N1DK,2019,9,900.0,6.699999999999999
N1,N1DK,2019,10,900.0,24.959999999999997
N1,N1DK,2019,11,900.0,2.52
N1,N1DK,2019,12,900.0,2.89
N1,N1DK,2020,1,900.0,1.08
N1,N1DK,2020,4,856.6666666666666,6.199999999999999
N1,N1DK,2020,5,842.0,9.18
N1,N1NK,2017,3,1043.75,63.279999999999994
N1,N1NK,2017,4,1080.0,49.07999999999999
N1,N1NK,2017,5,1018.2857142857143,46.37999999999999
N1,N1NK,2017,6,1020.0,58.07
N1,N1NK,2017,7,864.0,23.88
N1,N1NK,2017,8,916.1538461538462,70.45000000000002
N1,N1NK,2017,9,921.8333333333334,81.98000000000002
N1,N1NK,2017,10,971.0,45.35
N1,N1NK,2017,11,1081.4925373134329,100.87999999999997
N1,N1NK,2017,12,1146.5853658536585,186.82
N1,N1NK,2018,1,1027.7777777777778,336.76
N1,N1NK,2018,2,1040.9638554216867,244.97999999999982
N1,N1NK,2018,3,1094.6188340807175,283.08
N1,N1NK,2018,4,1065.0279329608938,234.50000000000003
N1,N1NK,2018,5,1040.08547008547,253.98
N1,N1NK,2018,6,1037.0,234.01
N1,N1NK,2018,7,1039.1588785046729,214.24999999999994
N1,N1NK,2018,8,1045.2325581395348,176.93
N1,N1NK,2018,9,1055.0,137.17000000000002
N1,N1NK,2018,10,1021.25,31.050000000000004
N1,N1NK,2018,11,1088.7368421052631,108.39999999999999
N1,N1NK,2018,12,1086.5989847715737,234.6199999999999
N1,N1NK,2019,1,1081.8552036199094,249.69999999999987
N1,N1NK,2019,2,1090.7239819004526,281.31
N1,N1NK,2019,3,1062.8,28.659999999999997
N1,N1NK,2019,4,1060.5759162303666,235.47
N1,N1NK,2019,5,1073.6363636363637,50.449999999999996
N1,N1NK,2019,6,1088.0555555555557,64.49
N1,N1NK,2019,7,994.0909090909091,42.410000000000004
N1,N1NK,2019,8,964.8275862068965,39.209999999999994
N1,N1NK,2019,9,940.0,9.1
N1,N1NK,2019,10,1000.0,1.3
N1,N1NK,2019,11,965.3846153846154,19.94
N1,N1NK,2019,12,968.6046511627907,53.160000000000004
N1,N1NK,2020,1,930.9375,34.14
N1,N1NK,2020,2,932.1052631578947,77.77
N1,N1NK,2020,3,941.0204081632653,141.17999999999998
N1,N1NK,2020,4,930.9090909090909,130.11999999999995
N1,N1NK,2020,5,896.6666666666666,92.91
N1,N1NK,2020,6,911.6666666666666,42.870000000000005
N1,N1PR,2018,1,682.1428571428571,94.29999999999997
N1,N1PR,2018,2,671.4285714285714,81.05000000000001
N1,N1PR,2018,3,673.8636363636364,72.07999999999998
N1,N1PR,2018,4,794.5454545454545,75.55
N1,N1PR,2018,5,750.0,16.080000000000002
N1,N1PR,2018,6,900.0,4.84
N1,N1PR,2018,7,900.0,36.19
N1,N1PR,2018,8,950.0,31.369999999999997
N1,N1PR,2018,9,993.3333333333334,18.429999999999996
N1,N1PR,2018,10,978.5714285714286,158.17000000000002
N1,N1PR,2018,11,982.3333333333334,63.05000000000002
N1,N1PR,2018,12,980.0,173.09999999999997
N1,N1PR,2019,1,980.0,28.229999999999997
N1,N1PR,2019,2,1001.6129032258065,65.44999999999999
N1,N1PR,2019,3,975.5172413793103,61.190000000000005
N1,N1PR,2019,4,972.1428571428571,155.52
N1,N1PR,2019,5,970.5263157894736,194.59999999999988
N1,N1PR,2019,6,970.0,46.019999999999996
N1,N1PR,2019,7,950.0,7.78
N1,N1PR,2019,8,903.0769230769231,64.86000000000001
N1,N1PR,2019,9,902.5,57.71
N1,N1PR,2019,10,902.5806451612904,64.68
N1,N1PR,2019,11,916.6666666666666,41.849999999999994
N1,N1PR,2019,12,945.3125,47.34000000000001
N1,N1PR,2020,1,901.6666666666666,78.02
N1,N1PR,2020,2,879.6428571428571,63.31999999999999
N1,N1PR,2020,3,872.4,37.76
N1,N1PR,2020,4,876.6666666666666,37.13999999999999
N1,N1PR,2020,5,878.2352941176471,33.98000000000001
N1,N1TC,2017,3,1088.888888888889,12.499999999999998
N1,N1TC,2017,4,1074.3589743589744,76.94
N1,N1TC,2017,5,1066.6666666666667,13.750000000000002
N1,N1TC,2017,6,1028.5714285714287,8.89
N1,N1TC,2017,7,600.0,2.21
N1,N1TC,2017,9,1133.3333333333333,22.309999999999995
N1,N1TC,2017,10,1200.0,2.37
N1,N1TC,2017,11,1104.7058823529412,126.76
N1,N1TC,2017,12,1085.3658536585365,75.23
N1,N1TC,2018,1,1016.6666666666666,118.28999999999999
N1,N1TC,2018,2,1029.6296296296296,56.279999999999994
N1,N1TC,2018,3,983.3333333333334,11.170000000000002
N1,N1TC,2018,4,970.0,9.85
N1,N1TC,2018,5,1094.0,12.07
N1,N1TC,2018,6,1070.0,8.48
N1,N1TC,2018,8,1058.0,10.219999999999999
N1,N1TC,2018,9,1064.0,36.620000000000005
N1,N1TC,2018,10,750.0,14.34
N1,N1TC,2018,11,1063.3333333333333,19.26
N1,N1TC,2018,12,1137.142857142857,18.64
N1,N1TC,2019,1,980.0,2.52
N1,N1TC,2019,2,980.0,11.559999999999999
N1,N1TC,2019,3,1091.764705882353,46.07999999999999
N1,N1TC,2019,4,1079.5555555555557,79.22000000000001
N1,N1TC,2019,5,1064.126984126984,131.43
N1,N1TC,2019,6,1082.972972972973,63.959999999999994
N1,N1TC,2019,7,1019.0909090909091,114.89
N1,N1TC,2019,8,963.125,85.08
N1,N1TC,2019,9,959.4736842105264,54.72
N1,N1TC,2019,10,950.0,114.82000000000002
N1,N1TC,2019,11,956.6666666666666,25.109999999999996
N1,N1TC,2019,12,965.4237288135594,83.99000000000002
N1,N1TC,2020,1,953.939393939394,149.11000000000007
N1,N1TC,2020,2,925.8904109589041,234.1899999999999
N1,N1TC,2020,3,922.6027397260274,247.12999999999988
N1,N1TC,2020,4,932.6,74.89
N1,N1TC,2020,5,939.2,25.110000000000003
N1,N1TC,2020,6,921.3333333333334,17.490000000000002
N1,N1TN,2017,2,1000.0,1.35
N1,N1TN,2017,3,1100.0,12.52
N1,N1TN,2017,4,1050.0,7.1
N1,N1TN,2017,5,870.0,7.4
N1,N1TN,2017,7,980.7692307692307,27.409999999999997
N1,N1TN,2017,8,900.0,3.5300000000000002
N1,N1TN,2017,9,626.0,9.610000000000001
N1,N1TN,2017,10,833.3333333333334,8.9
N1,N1TN,2017,11,750.0,10.620000000000001
N1,N1TN,2017,12,750.0,1.96
N1,N1TN,2018,1,816.6666666666666,4.710000000000001
N1,N1TN,2018,2,540.9090909090909,14.429999999999998
N1,N1TN,2018,4,670.0,11.8
N1,N1TN,2018,5,450.0,0.8
N1,N1TN,2018,7,900.0,4.0600000000000005
N1,N1TN,2018,8,1000.0,150.99
N1,N1TN,2018,9,998.7341772151899,180.12
N1,N1TN,2018,10,1016.1538461538462,85.10000000000001
N1,N1TN,2018,11,1000.5882352941177,31.619999999999997
N1,N1TN,2018,12,1000.6382978723404,101.27
N1,N1TN,2019,1,1020.253164556962,177.47000000000006
N1,N1TN,2019,2,1016.6666666666666,229.85999999999999
N1,N1TN,2019,3,1022.0,145.71000000000006
N1,N1TN,2019,4,987.5675675675676,63.22000000000001
N1,N1TN,2019,5,989.8529411764706,121.52000000000002
N1,N1TN,2019,6,990.2380952380952,71.00999999999999
N1,N1TN,2019,7,938.6363636363636,82.24000000000001
N1,N1TN,2019,8,906.3157894736842,69.64999999999999
N1,N1TN,2019,9,902.6086956521739,54.40999999999998
N1,N1TN,2019,10,902.8571428571429,32.76
N1,N1TN,2019,11,938.8888888888889,99.42999999999998
N1,N1TN,2019,12,936.2264150943396,125.71999999999998
N1,N1TN,2020,1,919.2156862745098,111.20000000000002
N1,N1TN,2020,2,890.8450704225352,143.1
N1,N1TN,2020,3,886.734693877551,80.7
N1,N1TN,2020,4,862.0,13.91
N1,N1TN,2020,5,881.6666666666666,13.099999999999998
N1,N1TN,2020,6,893.3333333333334,5.19
N1,N1WT,2018,1,800.0,0.4
N1,N1WT,2018,3,1076.0,67.29
N1,N1WT,2018,4,1082.4444444444443,49.500000000000014
N1,N1WT,2018,5,1025.6521739130435,105.99
N1,N1YS,2017,2,1000.0,0.08
N1,N1YS,2018,7,975.0,6.970000000000001
N1,N1YS,2018,8,1003.8461538461538,75.76
N1,N1YS,2018,9,991.6666666666666,26.400000000000006
N1,N1YS,2018,10,1015.0,5.99
N1,N1YS,2018,11,980.0,1.26
N1,N1YS,2018,12,994.0,8.07
N1,N1YS,2019,2,1000.0,5.35
N1,N1YS,2019,3,1035.0,7.24
N1,N1YS,2019,5,997.7777777777778,46.44
N1,N1YS,2019,6,970.0,1.4
N1,N1YS,2019,7,927.7777777777778,9.75
N1,N1YS,2019,9,920.0,1.66
N1,N1YS,2019,11,900.0,3.01
N1,N1YS,2019,12,916.0,10.940000000000001
N1,N1YS,2020,1,900.0,1.53
N1,N1YS,2020,2,870.0,2.78
N1,N1YS,2020,3,870.0,50.54
N1,N1YS,2020,4,866.1904761904761,58.540000000000006
N1,N1YS,2020,5,880.0,29.57
N2,N2KP,2018,11,964.0,55.61000000000001
N2,N2KP,2018,12,1002.8793774319066,437.77000000000004
N2,N2KP,2019,1,1011.658841940532,1275.5100000000011
N2,N2KP,2019,2,992.2599704579025,1614.099999999999
N2,N2KP,2019,3,998.6904761904761,1197.2099999999987
N2,N2KP,2019,4,993.5167464114833,812.8699999999995
N2,N2KP,2019,5,999.2156862745098,456.75
N2,N2KP,2019,6,987.4468085106383,202.91000000000008
N2,N2KP,2019,7,962.6923076923077,174.51000000000005
N2,N2KP,2019,8,934.4776119402985,125.94999999999999
N2,N2KP,2019,9,957.027027027027,57.19999999999998
N2,N2KP,2019,10,957.4509803921569,83.97999999999998
N2,N2KP,2019,11,999.6212121212121,207.88000000000008
N2,N2KP,2019,12,974.1968911917098,309.4199999999999
N2,N2KP,2020,1,922.8636363636364,381.9300000000001
N2,N2KP,2020,2,906.8126520681266,806.2399999999996
N2,N2KP,2020,3,892.6666666666666,655.4400000000003
N2,N2KP,2020,4,883.659793814433,466.75
N2,N2KP,2020,5,889.375,204.38999999999996
N2,N2KP,2020,6,898.1132075471698,120.78999999999999
N2,N2M,2017,6,1162.3076923076924,27.360000000000003
N2,N2M,2017,7,1164.0,130.69000000000003
N2,N2M,2017,8,1168.4615384615386,171.07000000000002
N2,N2M,2017,9,1170.0,41.6
N2,N2M,2017,10,1230.0,58.65
N2,N2M,2017,11,1230.0,24.11
N2,N2M,2018,5,1040.0,8.42
N2,N2M,2018,6,1040.0,12.68
N2,N2M,2019,6,1020.0,1.95
N2,N2M,2019,11,1050.0,2.88
N2,N2M,2020,1,920.0,1.0
N2,N2M,2020,2,900.0,1.16
N2,N2M,2020,4,880.0,1.79
N2,N2M,2020,5,880.0,3.77
N2,N2M,2020,6,880.0,1.49
N2,N2NS,2020,2,992.5,27.620000000000005
N2,N2NS,2020,3,990.0,43.16
N2,N2NS,2020,4,990.0,123.64000000000003
N2,N2NS,2020,5,990.0,23.380000000000003
N2,N2NS,2020,6,990.0,2.79
N2,N2ST,2016,12,1150.0,34.95
N2,N2ST,2017,1,1150.0,541.1400000000002
N2,N2ST,2017,2,1150.0,961.95
N2,N2ST,2017,3,1150.0,1043.8000000000006
N2,N2ST,2017,4,1149.873417721519,803.2299999999997
N2,N2ST,2017,5,1150.0,290.81
N2,N2ST,2017,6,1150.0,148.01999999999998
N2,N2ST,2017,7,1150.0,171.20000000000002
N2,N2ST,2017,8,1150.0,247.96999999999997
N2,N2ST,2017,9,1150.0,276.4
N2,N2ST,2017,10,1120.6382978723404,104.81
N2,N2ST,2017,11,1120.0,212.95999999999995
N2,N2ST,2017,12,1100.3703703703704,278.1
N2,N2ST,2018,1,1080.0,588.7100000000002
N2,N2ST,2018,2,1060.0,1000.3799999999995
N2,N2ST,2018,3,1060.0,852.8699999999995
N2,N2ST,2018,4,1059.8418972332015,488.2000000000001
N2,N2ST,2018,5,1040.0,220.62999999999997
N2,N2ST,2018,6,1040.0,194.47
N2,N2ST,2018,7,1024.0740740740741,123.48999999999997
N2,N2ST,2018,9,932.8571428571429,8.7
N2,N2ST,2018,10,961.0,112.08000000000001
N2,N2ST,2018,11,979.5833333333334,130.98
N2,N2ST,2018,12,1001.6233766233767,296.9099999999999
N2,N2ST,2019,1,1053.339517625232,1117.3100000000006
N2,N2ST,2019,2,1033.1698113207547,1122.5700000000002
N2,N2ST,2019,3,1001.3661202185792,805.1200000000005
N2,N2ST,2019,4,1020.625,499.6499999999996
N2,N2ST,2019,5,1018.9722222222222,374.3499999999997
N2,N2ST,2019,6,1018.2954545454545,149.85999999999996
N2,N2ST,2019,7,973.728813559322,129.57
N2,N2ST,2019,8,915.0,108.64
N2,N2ST,2019,9,950.0,5.0
N2,N2ST,2019,10,950.0,13.91
N2,N2ST,2019,11,1020.0,36.760000000000005
N2,N2ST,2019,12,970.0,68.69
N2,N2ST,2020,1,920.0,241.60000000000002
N2,N2ST,2020,2,900.0,803.7100000000006
N2,N2ST,2020,3,888.421052631579,469.34000000000015
N2,N2ST,2020,4,877.1317829457364,257.6599999999999
N2,N2ST,2020,5,883.5238095238095,181.42
N2,N2ST,2020,6,880.0,37.53999999999999
N2,N2WP,2018,12,1000.0,1.1
N3,N3DT,2016,11,1120.0,24.685
N3,N3DT,2016,12,1150.0,184.97999999999996
N3,N3DT,2017,1,1150.0,288.10999999999996
N3,N3DT,2017,2,1180.0,313.7099999999999
N3,N3DT,2017,3,1180.0,349.58
N3,N3DT,2017,4,1180.0,242.98000000000008
N3,N3DT,2017,5,1180.0,242.49
N3,N3DT,2017,6,1180.0,334.40999999999985
N3,N3DT,2017,7,1180.0,628.8200000000003
N3,N3DT,2017,8,1180.0,747.5900000000001
N3,N3DT,2017,9,1180.0,1025.1699999999998
N3,N3DT,2017,10,1150.0,577.9600000000002
N3,N3DT,2017,11,1150.0,262.57999999999987
N3,N3DT,2017,12,1150.0,235.6400000000001
N3,N3DT,2018,1,1100.5555555555557,269.86999999999995
N3,N3DT,2018,2,1100.0,285.0399999999999
N3,N3DT,2018,3,1100.0,665.8499999999998
N3,N3DT,2018,4,1089.4871794871794,357.86
N3,N3DT,2018,5,1070.0,359.1599999999999
N3,N3DT,2018,6,1070.0,21.340000000000003
N3,N3DT,2018,7,1022.5714285714286,826.1800000000001
N3,N3DT,2018,8,1000.0617283950618,1446.2600000000004
N3,N3DT,2018,9,991.1585365853658,694.7699999999998
N3,N3DT,2018,10,981.8181818181819,378.2000000000001
N3,N3DT,2018,11,1000.0,171.13000000000002
N3,N3DT,2018,12,1011.5384615384615,61.38
N3,N3DT,2019,1,1050.0,650.1199999999995
N3,N3DT,2019,2,1050.0,422.8700000000003
N3,N3DT,2019,3,1030.0,449.2200000000001
N3,N3DT,2019,4,1030.0,357.63000000000005
N3,N3DT,2019,5,1030.0,375.5999999999998
N3,N3DT,2019,6,1030.0,420.22999999999996
N3,N3DT,2019,7,972.5490196078431,131.31999999999996
N3,N3DT,2019,8,950.0,260.3099999999999
N3,N3DT,2019,9,970.0,211.19000000000003
N3,N3DT,2019,10,1050.0,346.3599999999999
N3,N3DT,2019,11,1050.0,139.46999999999994
N3,N3DT,2019,12,1049.438202247191,244.35000000000005
N3,N3DT,2020,1,1004.3589743589744,235.10000000000005
N3,N3DT,2020,2,991.0,265.79
N3,N3DT,2020,3,980.1020408163265,283.0499999999999
N3,N3DT,2020,4,930.0,136.54000000000002
N3,N3DT,2020,5,929.5,95.66000000000003
N3,N3DT,2020,6,933.3333333333334,41.629999999999995
N3,N3NB,2017,12,1170.0,195.19000000000005
N3,N3NB,2018,1,1150.0,1116.7100000000003
N3,N3NB,2018,4,1130.0,206.3
N3,N3NB,2018,5,1130.0,411.4299999999999
N3,N3NB,2018,6,1100.0,157.57
N3,N3NB,2018,7,1091.2621359223301,268.59
N3,N3NB,2018,8,1060.0,108.47000000000004
N3,N3NB,2018,9,1015.7894736842105,74.72
N3,N3NB,2018,10,1036.4893617021276,195.18000000000004
N3,N3NB,2018,11,1075.6603773584907,237.45000000000002
N3,N3NB,2018,12,1075.7431749241657,2653.8000000000047
N3,N3NB,2019,1,1102.5652565256526,2861.979999999999
N3,N3NB,2019,2,1082.3589743589744,934.1999999999996
N3,N3NB,2019,3,1068.2465277777778,1284.649999999999
N3,N3NB,2019,4,1068.8135593220338,504.98999999999995
N3,N3NB,2019,5,1067.25,433.9
N3,N3NB,2019,6,1070.621301775148,331.1700000000002
N3,N3NB,2019,7,975.204081632653,357.18999999999994
N3,N3NB,2019,8,951.4736842105264,180.00999999999993
N3,N3NB,2019,9,970.0,61.25
N3,N3NB,2019,10,1050.0,147.21
N3,N3NB,2019,11,1050.0,492.07
N3,N3NB,2019,12,1050.0,1241.4700000000005
N3,N3NB,2020,1,1020.8978328173374,1507.2899999999988
N3,N3NB,2020,2,981.7040358744395,1035.1699999999994
N3,N3NB,2020,3,947.6779026217229,559.6000000000004
N3,N3NB,2020,4,926.1363636363636,313.46000000000004
N3,N3NB,2020,5,925.5,90.26
N3,N3NB,2020,6,924.1463414634146,93.64
N3,N3TK,2018,11,1000.0,6.35
N3,N3TK,2019,1,1053.092243186583,1978.3299999999974
N3,N3TK,2019,2,1032.5956284153006,1562.0699999999993
N3,N3TK,2019,3,1013.1210191082803,987.1199999999999
N3,N3TK,2019,4,1014.7297297297297,577.2599999999996
N3,N3TK,2019,5,1011.75,372.7000000000004
N3,N3TK,2019,6,1011.6279069767442,353.2899999999997
N3,N3TK,2019,7,978.1481481481482,327.0299999999999
N3,N3TK,2019,8,951.0062893081761,316.8199999999998
N3,N3TK,2019,9,950.0,90.09
N3,N3TK,2019,10,950.0,64.02
N3,N3TK,2019,11,950.0,118.17999999999999
N3,N3TK,2019,12,971.5384615384615,261.87000000000006
N3,N3TK,2020,1,954.2560553633218,582.86
N3,N3TK,2020,2,952.6031746031746,629.1999999999999
N3,N3TK,2020,3,922.2110552763819,440.64000000000004
